	Match	Mismatch	Gap	Start position	Alignment score	Edit transcript
1	1	-3	-5	253461	100	1I1M1I1M1I1M1D1M1I1M1D1M1D1M1I1M1D1M1I1M1D1M1I1M1I1M1I1M1I1M1I1M1D1M1D1M1I1M1I1M1I1M1D1M1I1M1D1M1D1M1D1M1D1M1I1M1I1M1I1M1D1M1D1M1D1M1I1M1D1M1D1M1I1M1D1M1I1M1I1M1D2M1I1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1I1M1D1M1I1M1I1M1D1M1D1M1D1M1I1M1D1M1D1M1I1M1I2M1D1M1D1M1D1M1D1M
2	1	-2	-7	253461	100	1I1M1I1M1I1M1D1M1I1M1D1M1D1M1I1M1D1M1I1M1D1M1I1M1I1M1I1M1I1M1I1M1I1M1I1M1I1M1D1M1I1M1D1M1D1M1D1M1D1M1D1M1D1M1I1M1I1M1I1M1I1M1D1M1I1M1D1M1I1M1I1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1D1M1D1M1I1M1D1M1D1M1D1M2I1M1I1M1I1M1D1M1D1M1D1M1D1M1D1M1D1M1D1M
3	1	-2	-5	253461	100	1I1M1I1M1I1M1D1M1I1M1D1M1D1M1I1M1D1M1I1M1D1M1I1M1I1M1I1M1I1M1I1M1D1M1D1M1I1M1I1M1I1M1D1M1I1M1D1M1D1M1D1M1D1M1I1M1I1M1I1M1D1M1D1M1D1M1I1M1D1M1D1M1I1M1D1M1I1M1I1M1I1M2I1M1D1M1D1M1D1M1D1M1D1M1D1M1I1M1D1M1I1M1I1M1D1M1I1M1D1M1I1M1I1M1D1M1I1M1I1M1I1M1D1M1D1M1D1M1D1M1D1M
4	2	-3	-7	253461	200	1I1M1I1M1I1M1D1M1I1M1D1M1D1M1I1M1D1M1I1M1D1M1I1M1I1M1I1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1D1M1I1M1I1M1D1M1D1M1I1M1I1M1D1M1I1M1D1M1D1M1I1M1D1M1D1M1I1M1D1M1I1M1I1M1D2M1I1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1D1M1D1M1I1M1I1M1I1M1D1M1I1M1D1M1D1M1I1M1I2M1D1M1D1M1D1M1D1M
5	2	-3	-5	253461	200	1I1M1I1M1I1M1D1M1I1M1D1M1D1M1I1M1D1M1I1M1D1M1I1M1I1M1I1M1D1M1I1M1D1M1D1M1D1M1I1M1I1M1I1M1D1M1I1M1D1M1I1M1D1M1I2M1D1M1D2M1I1M1D1M1D1M1I1M1I1M1D1M1D1M1I1M1I1M1I1M1D1M1D1M1I1M1I1M1D1M1D1M1D1M1I1M1D1M1I1M1I1M1D1M1I1M1D1M1I1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1D1M1D1M
6	2	-2	-7	253461	200	2I1M1I1M1I1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1D1M1D1M1D1M
7	2	-2	-5	253461	200	1I1M1I1M1I1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1I1M1D1M1D1M1D1M1D2M
